
chronon,nb_fish,nb_shark,average_age_fish,average_age_shark,nb_descendants_fish,nb_descendants_shark,average_distance_fish,average_distance_shark,max_nb_descendants_fish,max_nb_descendants_shark,max_distance_fish,max_distance_shark
0,200,25,0,0,0,0,0,0,0,0,0,0
1,192,25,0,1,0,0,1,1,0,0,1,1
2,378,11,0,2,0,0,1,2,1,0,3,2
3,371,11,0,3,0,0,2,3,1,0,4,3
4,716,9,0,4,0,0,2,4,2,0,6,4
5,721,9,0,5,0,0,3,5,2,0,7,5
6,1214,9,0,6,0,0,2,6,3,0,9,6
7,1250,18,0,3,0,0,3,4,3,1,10,8
8,1527,18,0,4,0,0,2,5,4,1,12,9
9,1547,18,0,5,0,0,2,6,4,1,13,10
10,1581,18,0,6,0,0,2,7,5,1,15,11
11,1582,18,0,7,0,0,2,8,5,1,15,12
12,1582,18,0,8,0,0,2,9,5,1,15,13
13,1582,18,0,9,0,0,2,10,5,1,15,14
14,1564,36,0,5,0,0,2,6,5,2,15,16
15,1563,36,0,6,0,0,2,7,5,2,15,17
16,1563,36,0,7,0,0,2,8,5,2,15,18
17,1564,36,0,8,0,0,2,9,6,2,17,19
18,1564,36,0,9,0,0,2,10,5,2,15,20
19,1564,36,0,10,0,0,2,11,5,2,15,21
20,1564,36,0,11,0,0,2,12,5,2,15,22
21,1528,72,0,6,0,0,2,7,5,3,15,24
22,1507,72,0,7,0,0,2,8,5,3,15,25
23,1495,72,0,8,0,0,2,9,5,3,15,26
24,1481,72,0,9,0,0,2,10,5,3,15,27
